Supplementary Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) Mean responses; spontaneous firing rate has been subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AgOr1 ,AgOr2  ,AgOr3  ,AgOr4  ,AgOr5  ,AgOr6  ,AgOr8  ,AgOr9  ,AgOr10  ,AgOr11  ,AgOr12  ,AgOr13  ,AgOr15  ,AgOr16  ,AgOr18  ,AgOr20  ,AgOr21  ,AgOr23  ,AgOr25  ,AgOr26  ,AgOr27  ,AgOr30  ,AgOr31  ,AgOr32  ,AgOr33  ,AgOr35  ,AgOr38  ,AgOr39  ,AgOr41  ,AgOr42  ,AgOr43  ,AgOr44  ,AgOr45  ,AgOr46  ,AgOr48  ,AgOr50  ,AgOr53  ,AgOr54  ,AgOr56  ,AgOr57  ,AgOr59  ,AgOr61  ,AgOr63  ,AgOr64  ,AgOr65  ,AgOr66  ,AgOr67  ,AgOr73  ,AgOr75  ,AgOr76  
2-oxopropanoic-acid,-8,3,-3,9,1,7,-1,-3,-3,3,0,1,1,1,3,-6,-3,4,-6,7,3,0,-4,-11,-7,-7,-3,-1,-7,-2,-17,-12,5,0,-1,15,6,-4,-2,7,0,-1,1,-8,1,-3,-2,1,-3,2
isobutyric-acid,-9,2,-7,6,-3,0,-4,2,-3,6,-1,-7,7,2,19,3,8,-1,-8,1,5,2,-2,-8,-14,-7,-5,1,-7,-9,-17,-4,-10,47,-4,32,-6,-22,3,-3,-6,2,1,-2,-1,-14,-12,4,-9,0
2-oxobutanoic-acid,-16,11,7,36,15,14,-2,5,-5,1,0,7,6,3,35,-4,8,2,-9,7,7,0,1,33,-8,-13,-2,19,-5,4,-21,-19,-3,45,-1,38,0,-22,-4,22,-4,2,1,11,-8,-11,-15,0,-11,-4
isovaleric-acid,-1,0,-2,15,-1,-2,-1,-3,1,3,-1,0,1,0,-2,13,9,0,-5,0,13,5,7,-3,-3,-4,-1,5,-6,-12,-14,4,-7,46,8,38,-1,-14,1,0,0,-1,-1,1,0,-14,-8,0,28,0
2-oxopentanoic-acid,-8,1,-2,19,4,-1,-6,4,4,1,0,-5,-2,0,-7,14,12,-1,-5,6,9,-3,7,-2,-3,-1,2,1,-10,1,-23,-2,-4,40,1,28,-2,-25,-2,0,-5,1,3,6,2,-6,-9,3,-5,1
2-oxohexenoic-acid,2,1,-3,3,1,0,12,1,-7,3,-1,4,-2,0,0,3,3,-1,-8,1,0,10,1,2,-5,-8,0,-4,-10,-3,-5,-6,-6,16,-2,2,-2,-8,1,2,0,2,2,4,2,-4,-1,1,-3,-2
3-methyl-2-hexenoic-acid,-8,2,-4,2,0,0,-2,2,-10,-2,2,1,3,0,1,3,-1,0,-10,-2,-3,-1,7,-9,-13,-20,-7,4,-23,-18,-9,-14,-8,6,-7,-4,-2,-29,-1,13,6,-5,-3,2,-3,-18,-8,-3,-15,-2
7-octenoic-acid,-2,1,2,0,1,0,7,-2,4,-2,2,1,2,0,3,-1,-2,2,1,-1,-1,-1,2,0,0,1,2,3,-5,0,3,-2,-2,6,0,1,1,-1,0,7,0,1,-2,2,-2,1,4,3,0,1
cis-9-octadecenoic-acid,-3,2,1,-2,5,1,9,4,0,-3,2,-1,-2,0,7,-2,-1,1,-6,2,-1,1,-2,5,-9,-4,0,1,-2,1,1,1,-4,6,-4,0,2,-4,-4,0,0,1,0,-1,-3,-2,-1,3,-3,-2
dimethylsulfide,-19,6,-4,35,-7,0,-1,10,1,31,91,-9,18,0,20,8,27,-3,-13,3,12,9,28,14,-15,-20,31,27,-14,-8,-25,-8,-16,6,-4,30,22,-26,32,175,-4,-1,-5,-6,-4,-14,-9,-2,6,-7
(-)-carvone,-5,-2,-2,11,2,-3,-4,2,2,4,-9,-3,-5,1,61,4,66,0,-4,3,28,4,18,2,-6,2,1,-4,-8,-7,-6,-22,-6,13,79,34,-4,-2,8,53,1,2,4,5,4,-1,-3,-3,34,2
(+)-carvone,-2,-1,6,0,2,3,-1,3,6,7,-13,-3,-2,-1,41,-4,25,-1,-9,6,49,4,1,3,-2,2,18,-5,-3,-4,-6,-10,-7,31,-2,15,-2,-8,18,45,5,4,9,6,2,-2,-2,-6,36,-5
(-)-fenchone ,-12,12,-3,14,-6,1,-4,1,0,56,12,-10,-3,6,11,88,102,1,-5,63,113,-5,0,-1,-9,-2,-8,-1,-6,-4,-4,20,-9,49,6,142,-7,-5,109,94,-1,3,25,34,-3,14,0,-5,28,-5
(+)-fenchone,-6,1,-2,19,-6,0,-7,2,0,70,11,-13,-5,8,0,139,122,-1,-2,63,134,0,0,-2,-9,-3,-5,0,-5,-4,0,-6,-4,97,6,155,5,-9,106,90,0,3,22,51,0,14,1,-1,20,-8
citronellal,-2,3,-1,21,-6,0,-2,6,2,0,-8,-4,-8,0,9,15,0,-1,-17,11,13,219,48,36,-6,13,7,4,-7,-7,-3,-6,-12,35,53,82,31,-2,10,42,9,3,22,2,4,3,-8,-6,92,15
geraniol,1,2,3,1,-2,0,-1,-1,2,-3,1,-2,-2,1,-3,12,3,0,1,5,-2,10,4,3,2,6,-2,4,0,-2,0,9,-1,8,3,6,3,-5,4,7,0,-2,2,2,0,1,-4,-1,4,-2
linalool-oxide,-4,1,5,20,-2,2,1,-3,-3,-5,64,-4,-5,0,15,236,62,-1,-9,50,46,32,11,64,-9,5,2,-7,-7,-2,-5,2,-12,55,12,161,30,-10,28,35,10,6,21,15,2,0,-2,2,51,10
geranyl-acetate,-10,0,5,-6,8,-1,-1,4,-4,1,-4,-1,-3,0,-7,12,-2,4,-10,2,2,5,129,43,-12,64,-5,-2,-11,-5,-14,0,-9,17,-1,5,4,-24,10,0,-2,1,-1,9,-1,-5,-5,3,-4,-3
